,Year,Enrolling District Number,Enrolling District Type,Enrolling District,Count of Open Enrolled,Resident District Number,Resident District Type,Resident District
283,23-24,77.0,1.0,Mankato Public School District,1.0,720.0,1.0,Shakopee Public School District
284,23-24,77.0,1.0,Mankato Public School District,6.0,829.0,1.0,Waseca Public School District
285,23-24,77.0,1.0,Mankato Public School District,3.0,837.0,1.0,Madelia Public School District
286,23-24,77.0,1.0,Mankato Public School District,2.0,840.0,1.0,St. James Public School District
287,23-24,77.0,1.0,Mankato Public School District,98.0,2071.0,1.0,Lake Crystal-Wellcome Memorial
288,23-24,77.0,1.0,Mankato Public School District,33.0,2135.0,1.0,Maple River School District
289,23-24,77.0,1.0,Mankato Public School District,6.0,2143.0,1.0,Waterville-Elysian-Morristown Public School District
290,23-24,77.0,1.0,Mankato Public School District,4.0,2310.0,1.0,Sibley East School District
291,23-24,77.0,1.0,Mankato Public School District,1.0,2397.0,1.0,Le Sueur-Henderson School District
292,23-24,77.0,1.0,Mankato Public School District,27.0,2835.0,1.0,Janesville-Waldorf-Pemberton
293,23-24,81.0,1.0,Comfrey Public School District,5.0,84.0,1.0,Sleepy Eye Public School District
294,23-24,81.0,1.0,Comfrey Public School District,9.0,85.0,1.0,Springfield Public School District
295,23-24,81.0,1.0,Comfrey Public School District,6.0,173.0,1.0,Mountain Lake Public Schools
296,23-24,81.0,1.0,Comfrey Public School District,2.0,2884.0,1.0,Red Rock Central School District
297,23-24,84.0,1.0,Sleepy Eye Public School District,11.0,81.0,1.0,Comfrey Public School District
298,23-24,84.0,1.0,Sleepy Eye Public School District,17.0,85.0,1.0,Springfield Public School District
299,23-24,84.0,1.0,Sleepy Eye Public School District,9.0,88.0,1.0,New Ulm Public School District
300,23-24,84.0,1.0,Sleepy Eye Public School District,2.0,840.0,1.0,St. James Public School District
301,23-24,84.0,1.0,Sleepy Eye Public School District,21.0,2365.0,1.0,GFW Public Schools
302,23-24,84.0,1.0,Sleepy Eye Public School District,1.0,2534.0,1.0,Bird Island-Olivia-Lake Lillian Public School District
303,23-24,84.0,1.0,Sleepy Eye Public School District,6.0,2754.0,1.0,Cedar Mountain School District
304,23-24,85.0,1.0,Springfield Public School District,37.0,81.0,1.0,Comfrey Public School District
305,23-24,85.0,1.0,Springfield Public School District,12.0,84.0,1.0,Sleepy Eye Public School District
306,23-24,85.0,1.0,Springfield Public School District,1.0,330.0,1.0,Heron Lake-Okabena School District
307,23-24,85.0,1.0,Springfield Public School District,3.0,640.0,1.0,Wabasso Public School District
308,23-24,85.0,1.0,Springfield Public School District,24.0,2754.0,1.0,Cedar Mountain School District
309,23-24,85.0,1.0,Springfield Public School District,41.0,2884.0,1.0,Red Rock Central School District
310,23-24,88.0,1.0,New Ulm Public School District,30.0,84.0,1.0,Sleepy Eye Public School District
311,23-24,88.0,1.0,New Ulm Public School District,3.0,85.0,1.0,Springfield Public School District
312,23-24,88.0,1.0,New Ulm Public School District,9.0,507.0,1.0,Nicollet Public School District
313,23-24,88.0,1.0,New Ulm Public School District,1.0,508.0,1.0,St. Peter Public School District
314,23-24,88.0,1.0,New Ulm Public School District,2.0,640.0,1.0,Wabasso Public School District
315,23-24,88.0,1.0,New Ulm Public School District,8.0,837.0,1.0,Madelia Public School District
316,23-24,88.0,1.0,New Ulm Public School District,2.0,2071.0,1.0,Lake Crystal-Wellcome Memorial
317,23-24,88.0,1.0,New Ulm Public School District,79.0,2365.0,1.0,GFW Public Schools
318,23-24,88.0,1.0,New Ulm Public School District,2.0,2754.0,1.0,Cedar Mountain School District
319,23-24,88.0,1.0,New Ulm Public School District,1.0,2835.0,1.0,Janesville-Waldorf-Pemberton
320,23-24,91.0,1.0,Barnum Public School District,1.0,4.0,1.0,McGregor Public School District
321,23-24,91.0,1.0,Barnum Public School District,38.0,93.0,1.0,Carlton Public School District
322,23-24,91.0,1.0,Barnum Public School District,9.0,94.0,1.0,Cloquet Public School District
323,23-24,91.0,1.0,Barnum Public School District,2.0,95.0,1.0,Cromwell-Wright Public Schools
324,23-24,91.0,1.0,Barnum Public School District,90.0,97.0,1.0,Moose Lake Public School District
325,23-24,91.0,1.0,Barnum Public School District,5.0,100.0,1.0,Wrenshall Public School District
326,23-24,91.0,1.0,Barnum Public School District,12.0,577.0,1.0,Willow River Public School District
327,23-24,91.0,1.0,Barnum Public School District,4.0,709.0,1.0,Duluth Public School District
328,23-24,91.0,1.0,Barnum Public School District,1.0,2165.0,1.0,Hinckley-Finlayson School District
329,23-24,91.0,1.0,Barnum Public School District,8.0,2580.0,1.0,East Central School District
330,23-24,93.0,1.0,Carlton Public School District,8.0,91.0,1.0,Barnum Public School District
331,23-24,93.0,1.0,Carlton Public School District,47.0,94.0,1.0,Cloquet Public School District
332,23-24,93.0,1.0,Carlton Public School District,1.0,99.0,1.0,Esko Public School District
333,23-24,93.0,1.0,Carlton Public School District,15.0,100.0,1.0,Wrenshall Public School District
334,23-24,93.0,1.0,Carlton Public School District,1.0,704.0,1.0,Proctor Public School District
335,23-24,93.0,1.0,Carlton Public School District,1.0,709.0,1.0,Duluth Public School District
336,23-24,93.0,1.0,Carlton Public School District,1.0,2142.0,1.0,St. Louis County School District
337,23-24,94.0,1.0,Cloquet Public School District,20.0,91.0,1.0,Barnum Public School District
338,23-24,94.0,1.0,Cloquet Public School District,155.0,93.0,1.0,Carlton Public School District
339,23-24,94.0,1.0,Cloquet Public School District,5.0,95.0,1.0,Cromwell-Wright Public Schools
340,23-24,94.0,1.0,Cloquet Public School District,1.0,97.0,1.0,Moose Lake Public School District
341,23-24,94.0,1.0,Cloquet Public School District,30.0,99.0,1.0,Esko Public School District
342,23-24,94.0,1.0,Cloquet Public School District,33.0,100.0,1.0,Wrenshall Public School District
343,23-24,94.0,1.0,Cloquet Public School District,1.0,698.0,1.0,Floodwood Public School District
344,23-24,94.0,1.0,Cloquet Public School District,2.0,700.0,1.0,Hermantown Community Schools
345,23-24,94.0,1.0,Cloquet Public School District,21.0,704.0,1.0,Proctor Public School District
346,23-24,94.0,1.0,Cloquet Public School District,14.0,709.0,1.0,Duluth Public School District
347,23-24,94.0,1.0,Cloquet Public School District,43.0,2142.0,1.0,St. Louis County School District
348,23-24,95.0,1.0,Cromwell-Wright Public Schools,1.0,1.0,1.0,Aitkin Public School District
349,23-24,95.0,1.0,Cromwell-Wright Public Schools,14.0,4.0,1.0,McGregor Public School District
350,23-24,95.0,1.0,Cromwell-Wright Public Schools,8.0,91.0,1.0,Barnum Public School District
351,23-24,95.0,1.0,Cromwell-Wright Public Schools,16.0,93.0,1.0,Carlton Public School District
352,23-24,95.0,1.0,Cromwell-Wright Public Schools,1.0,94.0,1.0,Cloquet Public School District
353,23-24,95.0,1.0,Cromwell-Wright Public Schools,5.0,97.0,1.0,Moose Lake Public School District
354,23-24,95.0,1.0,Cromwell-Wright Public Schools,16.0,698.0,1.0,Floodwood Public School District
355,23-24,95.0,1.0,Cromwell-Wright Public Schools,1.0,709.0,1.0,Duluth Public School District
356,23-24,95.0,1.0,Cromwell-Wright Public Schools,1.0,2142.0,1.0,St. Louis County School District
357,23-24,97.0,1.0,Moose Lake Public School District,2.0,4.0,1.0,McGregor Public School District
358,23-24,97.0,1.0,Moose Lake Public School District,20.0,91.0,1.0,Barnum Public School District
359,23-24,97.0,1.0,Moose Lake Public School District,1.0,94.0,1.0,Cloquet Public School District
360,23-24,97.0,1.0,Moose Lake Public School District,7.0,95.0,1.0,Cromwell-Wright Public Schools
361,23-24,97.0,1.0,Moose Lake Public School District,7.0,100.0,1.0,Wrenshall Public School District
362,23-24,97.0,1.0,Moose Lake Public School District,83.0,577.0,1.0,Willow River Public School District
363,23-24,97.0,1.0,Moose Lake Public School District,2.0,709.0,1.0,Duluth Public School District
364,23-24,97.0,1.0,Moose Lake Public School District,40.0,2580.0,1.0,East Central School District
365,23-24,99.0,1.0,Esko Public School District,7.0,91.0,1.0,Barnum Public School District
366,23-24,99.0,1.0,Esko Public School District,49.0,93.0,1.0,Carlton Public School District
367,23-24,99.0,1.0,Esko Public School District,115.0,94.0,1.0,Cloquet Public School District
368,23-24,99.0,1.0,Esko Public School District,5.0,97.0,1.0,Moose Lake Public School District
369,23-24,99.0,1.0,Esko Public School District,14.0,100.0,1.0,Wrenshall Public School District
370,23-24,99.0,1.0,Esko Public School District,4.0,700.0,1.0,Hermantown Community Schools
371,23-24,99.0,1.0,Esko Public School District,61.0,704.0,1.0,Proctor Public School District
372,23-24,99.0,1.0,Esko Public School District,31.0,709.0,1.0,Duluth Public School District
373,23-24,99.0,1.0,Esko Public School District,5.0,2142.0,1.0,St. Louis County School District
374,23-24,100.0,1.0,Wrenshall Public School District,2.0,91.0,1.0,Barnum Public School District
375,23-24,100.0,1.0,Wrenshall Public School District,33.0,93.0,1.0,Carlton Public School District
376,23-24,100.0,1.0,Wrenshall Public School District,29.0,94.0,1.0,Cloquet Public School District
377,23-24,100.0,1.0,Wrenshall Public School District,2.0,97.0,1.0,Moose Lake Public School District
378,23-24,100.0,1.0,Wrenshall Public School District,2.0,99.0,1.0,Esko Public School District
379,23-24,100.0,1.0,Wrenshall Public School District,5.0,704.0,1.0,Proctor Public School District
380,23-24,100.0,1.0,Wrenshall Public School District,98.0,709.0,1.0,Duluth Public School District
381,23-24,108.0,1.0,Central Public School District,3.0,110.0,1.0,Waconia Public School District
382,23-24,108.0,1.0,Central Public School District,1.0,111.0,1.0,Watertown-Mayer Public School District
383,23-24,108.0,1.0,Central Public School District,1.0,112.0,1.0,Eastern Carver County Public Schools
384,23-24,108.0,1.0,Central Public School District,8.0,2310.0,1.0,Sibley East School District
385,23-24,108.0,1.0,Central Public School District,3.0,2859.0,1.0,Glencoe-Silver Lake School District
386,23-24,110.0,1.0,Waconia Public School District,1.0,1.0,3.0,Minneapolis Public School District
387,23-24,110.0,1.0,Waconia Public School District,228.0,108.0,1.0,Central Public School District
388,23-24,110.0,1.0,Waconia Public School District,272.0,111.0,1.0,Watertown-Mayer Public School District
389,23-24,110.0,1.0,Waconia Public School District,75.0,112.0,1.0,Eastern Carver County Public Schools
390,23-24,110.0,1.0,Waconia Public School District,1.0,196.0,1.0,Rosemount-Apple Valley-Eagan
391,23-24,110.0,1.0,Waconia Public School District,2.0,270.0,1.0,Hopkins Public School District
392,23-24,110.0,1.0,Waconia Public School District,2.0,271.0,1.0,Bloomington Public School District
393,23-24,110.0,1.0,Waconia Public School District,1.0,272.0,1.0,Eden Prairie Public School District
394,23-24,110.0,1.0,Waconia Public School District,2.0,276.0,1.0,Minnetonka Public School District
395,23-24,110.0,1.0,Waconia Public School District,7.0,277.0,1.0,Westonka Public School District
396,23-24,110.0,1.0,Waconia Public School District,1.0,283.0,1.0,St. Louis Park Public School District
397,23-24,110.0,1.0,Waconia Public School District,1.0,284.0,1.0,Wayzata Public School District
398,23-24,110.0,1.0,Waconia Public School District,1.0,423.0,1.0,Hutchinson Public School District
399,23-24,110.0,1.0,Waconia Public School District,19.0,424.0,1.0,Lester Prairie Public School District
400,23-24,110.0,1.0,Waconia Public School District,12.0,716.0,1.0,Belle Plaine Public School District
401,23-24,110.0,1.0,Waconia Public School District,1.0,719.0,1.0,Prior Lake-Savage Area Schools
402,23-24,110.0,1.0,Waconia Public School District,2.0,877.0,1.0,Buffalo-Hanover-Montrose Schools
403,23-24,110.0,1.0,Waconia Public School District,1.0,879.0,1.0,Delano Public School District
404,23-24,110.0,1.0,Waconia Public School District,5.0,2310.0,1.0,Sibley East School District
405,23-24,110.0,1.0,Waconia Public School District,6.0,2687.0,1.0,Howard Lake-Waverly-Winsted
406,23-24,110.0,1.0,Waconia Public School District,17.0,2859.0,1.0,Glencoe-Silver Lake School District
407,23-24,111.0,1.0,Watertown-Mayer Public School District,10.0,108.0,1.0,Central Public School District
408,23-24,111.0,1.0,Watertown-Mayer Public School District,42.0,110.0,1.0,Waconia Public School District
409,23-24,111.0,1.0,Watertown-Mayer Public School District,2.0,277.0,1.0,Westonka Public School District
410,23-24,111.0,1.0,Watertown-Mayer Public School District,6.0,278.0,1.0,Orono Public School District
411,23-24,111.0,1.0,Watertown-Mayer Public School District,1.0,279.0,1.0,Osseo Public School District
412,23-24,111.0,1.0,Watertown-Mayer Public School District,3.0,281.0,1.0,Robbinsdale Public School District
413,23-24,111.0,1.0,Watertown-Mayer Public School District,1.0,423.0,1.0,Hutchinson Public School District
414,23-24,111.0,1.0,Watertown-Mayer Public School District,20.0,424.0,1.0,Lester Prairie Public School District
415,23-24,111.0,1.0,Watertown-Mayer Public School District,1.0,466.0,1.0,Dassel-Cokato Public School District
416,23-24,111.0,1.0,Watertown-Mayer Public School District,1.0,739.0,1.0,Kimball Public School District
417,23-24,111.0,1.0,Watertown-Mayer Public School District,63.0,877.0,1.0,Buffalo-Hanover-Montrose Schools
418,23-24,111.0,1.0,Watertown-Mayer Public School District,28.0,879.0,1.0,Delano Public School District
419,23-24,111.0,1.0,Watertown-Mayer Public School District,75.0,2687.0,1.0,Howard Lake-Waverly-Winsted
420,23-24,111.0,1.0,Watertown-Mayer Public School District,3.0,2859.0,1.0,Glencoe-Silver Lake School District
421,23-24,112.0,1.0,Eastern Carver County Public Schools,8.0,1.0,3.0,Minneapolis Public School District
422,23-24,112.0,1.0,Eastern Carver County Public Schools,18.0,108.0,1.0,Central Public School District
423,23-24,112.0,1.0,Eastern Carver County Public Schools,100.0,110.0,1.0,Waconia Public School District
424,23-24,112.0,1.0,Eastern Carver County Public Schools,6.0,111.0,1.0,Watertown-Mayer Public School District
425,23-24,112.0,1.0,Eastern Carver County Public Schools,4.0,191.0,1.0,Burnsville-Eagan-Savage School District
426,23-24,112.0,1.0,Eastern Carver County Public Schools,2.0,194.0,1.0,Lakeville Area Schools
427,23-24,112.0,1.0,Eastern Carver County Public Schools,1.0,196.0,1.0,Rosemount-Apple Valley-Eagan
428,23-24,112.0,1.0,Eastern Carver County Public Schools,13.0,270.0,1.0,Hopkins Public School District
429,23-24,112.0,1.0,Eastern Carver County Public Schools,6.0,271.0,1.0,Bloomington Public School District
430,23-24,112.0,1.0,Eastern Carver County Public Schools,40.0,272.0,1.0,Eden Prairie Public School District
431,23-24,112.0,1.0,Eastern Carver County Public Schools,43.0,276.0,1.0,Minnetonka Public School District
432,23-24,112.0,1.0,Eastern Carver County Public Schools,10.0,277.0,1.0,Westonka Public School District
433,23-24,112.0,1.0,Eastern Carver County Public Schools,2.0,280.0,1.0,Richfield Public School District
434,23-24,112.0,1.0,Eastern Carver County Public Schools,1.0,281.0,1.0,Robbinsdale Public School District
435,23-24,112.0,1.0,Eastern Carver County Public Schools,1.0,283.0,1.0,St. Louis Park Public School District
436,23-24,112.0,1.0,Eastern Carver County Public Schools,1.0,284.0,1.0,Wayzata Public School District
437,23-24,112.0,1.0,Eastern Carver County Public Schools,1.0,423.0,1.0,Hutchinson Public School District
438,23-24,112.0,1.0,Eastern Carver County Public Schools,1.0,424.0,1.0,Lester Prairie Public School District
439,23-24,112.0,1.0,Eastern Carver County Public Schools,2.0,625.0,1.0,Saint Paul Public Schools
440,23-24,112.0,1.0,Eastern Carver County Public Schools,15.0,716.0,1.0,Belle Plaine Public School District
441,23-24,112.0,1.0,Eastern Carver County Public Schools,19.0,717.0,1.0,Jordan Public School District
442,23-24,112.0,1.0,Eastern Carver County Public Schools,4.0,719.0,1.0,Prior Lake-Savage Area Schools
443,23-24,112.0,1.0,Eastern Carver County Public Schools,80.0,720.0,1.0,Shakopee Public School District
444,23-24,112.0,1.0,Eastern Carver County Public Schools,2.0,742.0,1.0,St. Cloud Public School District
445,23-24,112.0,1.0,Eastern Carver County Public Schools,1.0,748.0,1.0,Sartell-St. Stephen School District
446,23-24,112.0,1.0,Eastern Carver County Public Schools,1.0,883.0,1.0,Rockford Public School District
447,23-24,112.0,1.0,Eastern Carver County Public Schools,2.0,2310.0,1.0,Sibley East School District
448,23-24,112.0,1.0,Eastern Carver County Public Schools,3.0,2397.0,1.0,Le Sueur-Henderson School District
449,23-24,112.0,1.0,Eastern Carver County Public Schools,2.0,2687.0,1.0,Howard Lake-Waverly-Winsted
450,23-24,112.0,1.0,Eastern Carver County Public Schools,12.0,2859.0,1.0,Glencoe-Silver Lake School District
